player_name,season,team,matches,total_legal_balls,total_overs,total_runs_conceded,total_wickets,total_wides,total_no_balls,total_dot_balls,five_wicket_hauls,three_plus_wickets,best_bowling_wickets,total_pp_wickets,total_death_wickets,total_pp_runs_conceded,total_middle_runs_conceded,total_death_runs_conceded,season_economy,season_dot_pct,bowling_average,bowling_strike_rate
S Rana,2011,Pune Warriors,1,4,0.7,2,0,0,0,2,0,0,0,0,0,0,0,2,3.0,50.0,,
AS Raut,2011,Rajasthan Royals,1,6,1.0,8,0,0,0,2,0,0,0,0,0,0,8,0,8.0,33.33,,
Pankaj Singh,2011,Rajasthan Royals,1,12,2.0,24,0,0,0,3,0,0,0,0,0,12,0,12,12.0,25.0,,
M Morkel,2012,Delhi Capitals,16,378,63.0,466,30,10,1,154,0,5,4,11,16,218,55,193,7.4,39.59,15.53,12.6
SP Narine,2012,Kolkata Knight Riders,15,355,59.2,332,29,2,0,164,2,3,5,3,21,74,73,185,5.61,45.94,11.45,12.24
SL Malinga,2012,Mumbai Indians,14,333,55.5,355,25,17,1,145,0,4,4,3,18,118,52,185,6.4,41.31,14.2,13.32
UT Yadav,2012,Delhi Capitals,17,366,61.0,459,22,14,3,145,0,2,4,4,11,125,134,200,7.52,37.86,20.86,16.64
R Vinay Kumar,2012,Royal Challengers Bengaluru,14,335,55.8,488,21,9,2,123,0,3,3,7,12,188,51,249,8.74,35.55,23.24,15.95
Z Khan,2012,Royal Challengers Bengaluru,15,360,60.0,468,21,10,0,146,0,1,3,8,13,242,23,203,7.8,39.46,22.29,17.14
DJ Bravo,2012,Chennai Super Kings,18,346,57.7,472,20,17,0,110,0,2,3,0,10,38,247,187,8.18,30.3,23.6,17.3
R Ashwin,2012,Chennai Super Kings,18,395,65.8,439,19,6,1,141,1,1,5,4,7,171,191,77,6.67,35.07,23.11,20.79
KA Pollard,2012,Mumbai Indians,14,263,43.8,352,18,22,1,85,0,1,4,0,8,6,280,66,8.03,29.72,19.56,14.61
PP Chawla,2012,Punjab Kings,16,342,57.0,425,18,4,0,124,0,1,3,1,6,18,330,77,7.46,35.84,23.61,19.0
P Awana,2012,Punjab Kings,12,282,47.0,382,18,13,1,112,0,3,4,7,7,123,130,129,8.13,37.84,21.22,15.67
DW Steyn,2012,Sunrisers Hyderabad,12,280,46.7,290,18,8,1,138,0,2,3,8,7,127,28,135,6.21,47.75,16.11,15.56
MM Patel,2012,Mumbai Indians,12,280,46.7,374,17,4,4,123,0,3,4,9,6,186,37,151,8.01,42.71,22.0,16.47
R Bhatia,2012,Kolkata Knight Riders,16,319,53.2,400,17,3,1,82,0,1,3,0,8,0,305,95,7.52,25.39,23.53,18.76
JH Kallis,2012,Kolkata Knight Riders,16,324,54.0,410,16,10,2,112,0,0,2,7,5,120,199,91,7.59,33.33,25.63,20.25
M Muralitharan,2012,Royal Challengers Bengaluru,10,240,40.0,264,15,5,0,82,0,2,3,0,4,15,163,86,6.6,33.47,17.6,16.0
BW Hilfenhaus,2012,Chennai Super Kings,9,204,34.0,242,14,9,2,103,0,1,3,8,5,148,23,71,7.12,47.91,17.29,14.57
SK Trivedi,2012,Rajasthan Royals,14,312,52.0,387,14,9,3,90,0,1,4,0,3,12,268,107,7.44,27.78,27.64,22.29
Azhar Mahmood,2012,Punjab Kings,11,256,42.7,331,14,7,2,95,0,2,3,2,7,44,128,159,7.76,35.85,23.64,18.29
JA Morkel,2012,Chennai Super Kings,15,297,49.5,392,13,17,1,118,0,1,3,4,5,237,101,54,7.92,37.46,30.15,22.85
A Mishra,2012,Sunrisers Hyderabad,14,282,47.0,381,13,5,2,89,0,1,3,0,1,0,315,66,8.11,30.8,29.31,21.69
V Pratap Singh,2012,Sunrisers Hyderabad,9,204,34.0,300,12,7,0,71,0,1,3,3,6,140,89,71,8.82,33.65,25.0,17.0
A Nehra,2012,Pune Warriors,13,288,48.0,411,12,1,2,99,0,2,3,1,7,163,105,143,8.56,34.02,34.25,24.0
Shakib Al Hasan,2012,Kolkata Knight Riders,8,180,30.0,203,12,5,0,68,0,1,3,2,6,83,59,61,6.77,36.76,16.92,15.0
L Balaji,2012,Kolkata Knight Riders,8,180,30.0,169,12,9,0,83,0,1,4,3,3,51,81,37,5.63,43.92,14.08,15.0
P Kumar,2012,Punjab Kings,16,378,63.0,445,12,17,0,168,0,1,3,6,5,278,52,115,7.06,42.53,37.08,31.5
RA Jadeja,2012,Chennai Super Kings,14,210,35.0,278,12,6,0,65,1,1,5,0,8,16,168,94,7.94,30.09,23.17,17.5
A Singh,2012,Rajasthan Royals,9,197,32.8,317,12,7,0,58,0,0,2,5,7,141,4,172,9.65,28.43,26.42,16.42
RP Singh,2012,Mumbai Indians,11,246,41.0,328,11,12,2,103,0,1,3,5,4,174,64,90,8.0,39.62,29.82,22.36
A Ashish Reddy,2012,Sunrisers Hyderabad,9,163,27.2,238,11,4,2,55,0,1,3,0,8,20,94,124,8.76,32.54,21.64,14.82
SB Jakati,2012,Chennai Super Kings,15,246,41.0,337,10,2,0,76,0,0,2,1,1,48,270,19,8.22,30.65,33.7,24.6
KK Cooper,2012,Rajasthan Royals,6,144,24.0,187,10,5,0,52,0,2,4,2,6,35,48,104,7.79,34.9,18.7,14.4
DE Bollinger,2012,Chennai Super Kings,6,108,18.0,160,10,5,0,46,0,1,4,1,7,117,3,40,8.89,40.71,16.0,10.8
AB Dinda,2012,Pune Warriors,7,144,24.0,171,10,6,4,61,0,1,4,5,5,84,18,69,7.13,39.61,17.1,14.4
IK Pathan,2012,Delhi Capitals,17,360,60.0,477,10,6,0,145,0,0,2,4,1,189,223,65,7.95,39.62,47.7,36.0
GB Hogg,2012,Rajasthan Royals,9,216,36.0,262,10,3,1,73,0,0,2,0,2,10,211,41,7.28,33.18,26.2,21.6
PP Ojha,2012,Mumbai Indians,9,180,30.0,222,10,5,1,66,0,1,3,1,3,51,118,53,7.4,35.48,22.2,18.0
VR Aaron,2012,Delhi Capitals,8,186,31.0,279,9,6,0,73,0,0,2,5,2,88,77,114,9.0,38.02,31.0,20.67
HV Patel,2012,Royal Challengers Bengaluru,11,246,41.0,352,9,3,0,78,0,0,2,0,2,67,220,65,8.59,31.33,39.11,27.33
J Botha,2012,Rajasthan Royals,11,246,41.0,304,9,5,0,87,0,0,2,0,3,103,159,42,7.41,34.66,33.78,27.33
MN Samuels,2012,Pune Warriors,8,172,28.7,217,9,4,0,66,0,1,3,3,5,66,78,73,7.57,37.5,24.11,19.11
DT Christian,2012,Sunrisers Hyderabad,7,162,27.0,240,9,7,0,51,0,0,2,5,2,78,54,108,8.89,30.18,26.67,18.0
B Kumar,2012,Pune Warriors,11,234,39.0,293,9,5,1,86,0,0,2,4,3,118,107,68,7.51,35.83,32.56,26.0
R Sharma,2012,Pune Warriors,11,222,37.0,305,9,2,0,72,0,0,2,0,2,24,194,87,8.24,32.14,33.89,24.67
RJ Harris,2012,Punjab Kings,5,108,18.0,136,8,1,0,48,0,1,4,2,3,66,38,32,7.56,44.04,17.0,13.5
S Nadeem,2012,Delhi Capitals,12,270,45.0,320,8,5,0,88,0,1,3,2,2,61,204,55,7.11,32.0,40.0,33.75
Harmeet Singh,2012,Punjab Kings,7,134,22.3,196,7,5,2,40,0,1,3,0,4,14,141,41,8.78,28.37,28.0,19.14
WD Parnell,2012,Pune Warriors,6,126,21.0,133,7,1,3,51,0,0,2,2,5,52,21,60,6.33,39.23,19.0,18.0
AD Mascarenhas,2012,Punjab Kings,4,96,16.0,110,7,1,0,35,1,1,5,4,2,36,35,39,6.88,36.08,15.71,13.71
Pankaj Singh,2012,Rajasthan Royals,6,126,21.0,171,7,1,0,57,0,0,2,5,1,88,42,41,8.14,44.88,24.43,18.0
SW Tait,2012,Rajasthan Royals,6,137,22.8,154,7,18,2,65,0,1,3,2,3,73,37,44,6.74,41.4,22.0,19.57
AD Mathews,2012,Pune Warriors,9,156,26.0,195,7,2,0,50,0,0,2,0,2,30,133,32,7.5,31.65,27.86,22.29
B Lee,2012,Kolkata Knight Riders,10,228,38.0,303,7,4,2,99,0,0,2,2,3,169,13,121,7.97,42.31,43.29,32.57
P Negi,2012,Delhi Capitals,6,132,22.0,153,7,1,0,49,0,1,4,0,0,0,127,26,6.95,36.84,21.86,18.86
AA Chavan,2012,Rajasthan Royals,8,164,27.3,245,7,5,0,55,0,0,2,3,3,85,128,32,8.96,32.54,35.0,23.43
DL Vettori,2012,Royal Challengers Bengaluru,9,210,35.0,241,6,2,0,66,0,0,1,0,2,25,163,53,6.89,31.13,40.17,35.0
JEC Franklin,2012,Mumbai Indians,9,90,15.0,126,6,2,0,25,0,0,2,1,0,20,97,9,8.4,27.17,21.0,15.0
DS Kulkarni,2012,Mumbai Indians,2,48,8.0,64,6,5,0,23,0,2,3,4,2,23,0,41,8.0,43.4,10.67,8.0
Harbhajan Singh,2012,Mumbai Indians,16,324,54.0,389,6,11,0,117,0,0,2,1,0,38,318,33,7.2,34.93,64.83,54.0
SR Watson,2012,Rajasthan Royals,7,138,23.0,165,6,5,1,62,0,0,2,2,3,95,12,58,7.17,43.06,27.5,23.0
KP Appanna,2012,Royal Challengers Bengaluru,6,102,17.0,149,6,5,0,35,0,1,4,0,0,28,121,0,8.76,32.71,24.83,17.0
AC Thomas,2012,Pune Warriors,4,84,14.0,116,5,2,1,30,0,1,3,2,3,55,11,50,8.29,34.48,23.2,16.8
KMDN Kulasekara,2012,Chennai Super Kings,4,84,14.0,96,5,4,0,38,0,0,2,3,2,56,8,32,6.86,43.18,19.2,16.8
P Parameswaran,2012,Royal Challengers Bengaluru,3,60,10.0,89,5,2,0,23,0,1,3,1,3,8,45,36,8.9,37.1,17.8,12.0
A Chandila,2012,Rajasthan Royals,4,84,14.0,87,5,0,0,39,0,1,4,4,0,41,46,0,6.21,46.43,17.4,16.8
AB McDonald,2012,Royal Challengers Bengaluru,3,60,10.0,63,5,1,0,18,0,0,2,1,1,15,47,1,6.3,29.51,12.6,12.0
M Kartik,2012,Pune Warriors,11,216,36.0,267,4,8,1,76,0,0,2,1,0,69,188,10,7.42,33.78,66.75,54.0
Ankit Sharma,2012,Sunrisers Hyderabad,9,145,24.2,167,4,2,0,62,0,0,1,3,0,48,93,26,6.91,42.18,41.75,36.25
AB Agarkar,2012,Delhi Capitals,4,86,14.3,134,4,4,0,20,0,1,3,0,1,15,94,25,9.35,22.22,33.5,21.5
YK Pathan,2012,Kolkata Knight Riders,12,132,22.0,184,4,5,0,46,0,0,2,1,0,51,133,0,8.36,33.58,46.0,33.0
MS Gony,2012,Sunrisers Hyderabad,6,144,24.0,217,4,6,1,58,0,0,2,0,1,91,77,49,9.04,38.41,54.25,36.0
RE van der Merwe,2012,Delhi Capitals,3,60,10.0,60,4,1,0,26,0,1,3,1,0,6,51,3,6.0,42.62,15.0,15.0
Iqbal Abdulla,2012,Kolkata Knight Riders,8,132,22.0,147,4,2,0,46,0,0,1,2,0,74,65,8,6.68,34.33,36.75,33.0
J Theron,2012,Sunrisers Hyderabad,2,48,8.0,66,3,2,1,18,0,0,2,1,2,22,3,41,8.25,35.29,22.0,16.0
MJ Clarke,2012,Pune Warriors,5,66,11.0,72,3,0,0,22,0,0,1,0,0,0,63,9,6.55,33.33,24.0,22.0
DAJ Bracewell,2012,Delhi Capitals,1,24,4.0,32,3,1,0,10,0,1,3,0,2,7,15,10,8.0,40.0,10.67,8.0
Anand Rajan,2012,Sunrisers Hyderabad,4,71,11.8,113,3,4,1,18,0,0,1,0,1,21,59,33,9.55,23.68,37.67,23.67
SC Ganguly,2012,Pune Warriors,4,60,10.0,97,3,0,1,10,0,1,3,0,0,0,64,33,9.7,16.39,32.33,20.0
JP Faulkner,2012,Punjab Kings,2,48,8.0,74,3,1,0,14,0,0,2,0,3,26,9,39,9.25,28.57,24.67,16.0
S Dhawan,2012,Sunrisers Hyderabad,4,36,6.0,60,3,1,0,12,0,0,1,1,0,31,29,0,10.0,32.43,20.0,12.0
DJ Hussey,2012,Punjab Kings,6,54,9.0,67,3,1,0,14,0,0,2,0,0,15,32,20,7.44,25.45,22.33,18.0
BA Bhatt,2012,Punjab Kings,5,99,16.5,143,3,0,1,26,0,0,2,1,0,39,77,27,8.67,26.0,47.67,33.0
VY Mahesh,2012,Chennai Super Kings,4,56,9.3,83,3,5,0,18,0,0,2,0,0,0,73,10,8.89,29.51,27.67,18.67
RJ Peterson,2012,Mumbai Indians,4,48,8.0,70,3,0,0,21,0,1,3,0,2,10,21,39,8.75,43.75,23.33,16.0
M de Lange,2012,Kolkata Knight Riders,3,60,10.0,108,3,3,1,17,0,1,3,2,1,63,17,28,10.8,26.56,36.0,20.0
STR Binny,2012,Rajasthan Royals,6,60,10.0,78,3,0,0,15,0,0,1,0,1,12,33,33,7.8,25.0,26.0,20.0
DR Smith,2012,Mumbai Indians,6,78,13.0,98,3,0,1,28,0,0,2,0,2,0,82,16,7.54,35.44,32.67,26.0
SK Raina,2012,Chennai Super Kings,7,84,14.0,106,2,1,0,21,0,0,1,0,0,0,97,9,7.57,24.71,53.0,42.0
GJ Maxwell,2012,Delhi Capitals,2,18,3.0,22,2,1,0,6,0,0,2,0,0,12,10,0,7.33,31.58,11.0,9.0
LR Shukla,2012,Kolkata Knight Riders,2,12,2.0,12,1,0,0,5,0,0,1,0,1,0,7,5,6.0,41.67,12.0,12.0
JD Ryder,2012,Pune Warriors,4,42,7.0,74,1,1,0,10,0,0,1,0,0,0,74,0,10.57,23.26,74.0,42.0
TP Sudhindra,2012,Sunrisers Hyderabad,3,70,11.7,137,1,3,1,18,0,0,1,0,0,40,47,50,11.74,24.32,137.0,70.0
RN ten Doeschate,2012,Kolkata Knight Riders,1,18,3.0,24,1,3,0,2,0,0,1,0,0,0,12,12,8.0,9.52,24.0,18.0
AL Menaria,2012,Rajasthan Royals,3,20,3.3,23,1,0,0,10,0,0,1,0,0,2,11,10,6.9,50.0,23.0,20.0
CJ McKay,2012,Mumbai Indians,2,42,7.0,60,1,0,0,14,0,0,1,0,0,26,14,20,8.57,33.33,60.0,42.0
AD Russell,2012,Delhi Capitals,4,96,16.0,162,1,1,1,28,0,0,1,0,0,25,97,40,10.13,28.57,162.0,96.0
PJ Sangwan,2012,Kolkata Knight Riders,1,24,4.0,42,1,1,0,5,0,0,1,0,0,17,25,0,10.5,20.0,42.0,24.0
JP Duminy,2012,Sunrisers Hyderabad,6,72,12.0,104,1,6,0,22,0,0,1,0,0,33,70,1,8.67,28.21,104.0,72.0
AA Jhunjhunwala,2012,Sunrisers Hyderabad,3,36,6.0,39,1,0,0,14,0,0,1,0,0,25,14,0,6.5,38.89,39.0,36.0
KP Pietersen,2012,Delhi Capitals,3,36,6.0,53,1,4,0,10,0,0,1,0,0,7,46,0,8.83,25.0,53.0,36.0
J Syed Mohammad,2012,Royal Challengers Bengaluru,2,42,7.0,66,1,1,0,8,0,0,1,0,0,0,66,0,9.43,18.6,66.0,42.0
BJ Hodge,2012,Rajasthan Royals,2,12,2.0,22,1,0,0,2,0,0,1,0,0,0,22,0,11.0,16.67,22.0,12.0
RG Sharma,2012,Mumbai Indians,1,6,1.0,16,0,0,0,1,0,0,0,0,0,0,0,16,16.0,16.67,,
LJ Wright,2012,Pune Warriors,1,12,2.0,24,0,0,0,2,0,0,0,0,0,12,12,0,12.0,16.67,,
SPD Smith,2012,Pune Warriors,1,2,0.3,5,0,0,0,0,0,0,0,0,0,0,0,5,15.0,0.0,,
DJ Harris,2012,Sunrisers Hyderabad,2,18,3.0,26,0,0,0,4,0,0,0,0,0,0,16,10,8.67,22.22,,
AG Murtaza,2012,Pune Warriors,1,12,2.0,11,0,0,0,5,0,0,0,0,0,11,0,0,5.5,41.67,,
CL White,2012,Sunrisers Hyderabad,2,18,3.0,27,0,2,0,1,0,0,0,0,0,0,27,0,9.0,5.0,,
F du Plessis,2012,Chennai Super Kings,1,6,1.0,16,0,0,0,0,0,0,0,0,0,0,0,16,16.0,0.0,,
RR Bhatkal,2012,Royal Challengers Bengaluru,1,12,2.0,35,0,0,0,0,0,0,0,0,0,20,15,0,17.5,0.0,,
R Shukla,2012,Mumbai Indians,1,18,3.0,32,0,1,0,5,0,0,0,0,0,6,26,0,10.67,26.32,,
AM Nayar,2012,Punjab Kings,1,6,1.0,16,0,0,0,0,0,0,0,0,0,0,16,0,16.0,0.0,,
Sunny Gupta,2012,Delhi Capitals,1,18,3.0,47,0,1,0,0,0,0,0,0,0,12,35,0,15.67,0.0,,
JD Unadkat,2012,Kolkata Knight Riders,1,18,3.0,32,0,0,0,2,0,0,0,0,0,0,21,11,10.67,11.11,,
V Kohli,2012,Royal Challengers Bengaluru,2,18,3.0,49,0,0,0,2,0,0,0,0,0,0,21,28,16.33,11.11,,
PC Valthaty,2012,Punjab Kings,1,6,1.0,16,0,0,0,1,0,0,0,0,0,0,16,0,16.0,16.67,,
S Aravind,2012,Royal Challengers Bengaluru,1,18,3.0,48,0,0,0,5,0,0,0,0,0,24,24,0,16.0,27.78,,
Y Nagar,2012,Delhi Capitals,1,6,1.0,10,0,1,0,1,0,0,0,0,0,0,10,0,10.0,14.29,,
CH Gayle,2012,Royal Challengers Bengaluru,3,28,4.7,67,0,2,0,5,0,0,0,0,0,0,31,36,14.36,16.67,,
Y Venugopal Rao,2012,Delhi Capitals,2,12,2.0,26,0,0,0,3,0,0,0,0,0,13,13,0,13.0,25.0,,
RR Powar,2012,Punjab Kings,1,18,3.0,32,0,0,0,3,0,0,0,0,0,8,24,0,10.67,16.67,,
A Mithun,2012,Royal Challengers Bengaluru,1,18,3.0,34,0,1,0,5,0,0,0,0,0,18,0,16,11.33,26.32,,
NLTC Perera,2012,Mumbai Indians,2,15,2.5,27,0,0,0,2,0,0,0,0,0,0,18,9,10.8,13.33,,
AN Ahmed,2012,Mumbai Indians,1,12,2.0,17,0,1,0,5,0,0,0,0,0,17,0,0,8.5,38.46,,
TM Dilshan,2012,Royal Challengers Bengaluru,5,42,7.0,78,0,2,0,9,0,0,0,0,0,24,54,0,11.14,20.45,,
K Upadhyay,2012,Pune Warriors,1,24,4.0,33,0,0,0,10,0,0,0,0,0,17,16,0,8.25,41.67,,
Bipul Sharma,2012,Punjab Kings,3,46,7.7,82,0,2,0,13,0,0,0,0,0,11,52,19,10.7,27.08,,
V Sehwag,2012,Delhi Capitals,3,24,4.0,45,0,0,0,7,0,0,0,0,0,0,34,11,11.25,29.17,,
AUK Pathan,2012,Royal Challengers Bengaluru,1,6,1.0,14,0,0,0,2,0,0,0,0,0,0,0,14,14.0,33.33,,
DJ Bravo,2013,Chennai Super Kings,18,375,62.5,505,34,16,1,135,0,4,4,1,25,10,209,286,8.08,34.44,14.85,11.03
JP Faulkner,2013,Rajasthan Royals,16,379,63.2,436,33,16,0,161,2,6,5,7,21,149,80,207,6.9,40.76,13.21,11.48
R Vinay Kumar,2013,Royal Challengers Bengaluru,16,361,60.2,502,27,7,2,124,0,4,3,5,16,115,176,211,8.34,33.51,18.59,13.37
SP Narine,2013,Kolkata Knight Riders,16,384,64.0,353,26,3,0,180,1,4,5,3,16,73,113,167,5.52,46.51,13.58,14.77
Harbhajan Singh,2013,Mumbai Indians,19,420,70.0,466,25,8,2,163,0,3,3,2,3,90,317,59,6.66,37.91,18.64,16.8
MG Johnson,2013,Mumbai Indians,17,384,64.0,471,24,19,0,188,0,2,3,16,5,243,107,121,7.36,46.65,19.63,16.0
A Mishra,2013,Sunrisers Hyderabad,17,372,62.0,395,24,2,2,151,0,5,4,0,10,12,260,123,6.37,40.16,16.46,15.5
SL Malinga,2013,Mumbai Indians,17,392,65.3,484,23,8,2,147,0,1,4,5,13,145,134,205,7.41,36.57,21.04,17.04
KK Cooper,2013,Rajasthan Royals,14,324,54.0,456,22,17,0,98,0,3,3,0,13,47,169,240,8.44,28.74,20.73,14.73
MM Sharma,2013,Chennai Super Kings,15,304,50.7,327,21,7,0,161,0,2,3,15,2,230,71,26,6.45,51.77,15.57,14.48
NLTC Perera,2013,Sunrisers Hyderabad,16,358,59.7,490,21,8,3,136,0,3,3,5,10,105,162,223,8.21,36.86,23.33,17.05
UT Yadav,2013,Delhi Capitals,16,347,57.8,518,20,15,1,126,0,3,4,4,15,134,133,251,8.96,34.71,25.9,17.35
DW Steyn,2013,Sunrisers Hyderabad,17,407,67.8,395,20,12,0,211,0,1,3,3,16,167,65,163,5.82,50.36,19.75,20.35
JH Kallis,2013,Kolkata Knight Riders,15,318,53.0,407,19,7,4,112,0,2,3,2,11,62,204,141,7.68,34.04,21.42,16.74
AB Dinda,2013,Pune Warriors,13,294,49.0,466,18,8,2,105,0,2,3,4,11,133,60,273,9.51,34.54,25.89,16.33
PP Ojha,2013,Mumbai Indians,15,314,52.3,391,18,4,0,108,0,1,3,1,3,54,285,52,7.47,33.96,21.72,17.44
CH Morris,2013,Chennai Super Kings,16,300,50.0,410,17,8,1,113,0,1,3,5,8,140,126,144,8.2,36.57,24.12,17.65
SR Watson,2013,Rajasthan Royals,13,250,41.7,319,16,6,0,101,0,1,4,5,8,108,108,103,7.66,39.45,19.94,15.63
Azhar Mahmood,2013,Punjab Kings,11,263,43.8,335,16,3,1,99,0,3,3,4,11,110,63,162,7.64,37.08,20.94,16.44
R Ashwin,2013,Chennai Super Kings,18,348,58.0,397,16,6,0,121,0,0,2,1,2,46,317,34,6.84,34.18,24.81,21.75
I Sharma,2013,Sunrisers Hyderabad,16,358,59.7,471,16,13,3,160,0,1,3,9,5,278,110,83,7.89,42.78,29.44,22.38
P Awana,2013,Punjab Kings,14,324,54.0,416,16,6,2,133,0,1,3,4,6,103,184,129,7.7,40.06,26.0,20.25
RA Jadeja,2013,Chennai Super Kings,15,259,43.2,326,15,2,1,95,0,3,3,0,4,28,234,64,7.55,36.26,21.73,17.27
RP Singh,2013,Royal Challengers Bengaluru,11,239,39.8,336,14,10,2,88,0,3,4,2,12,116,83,137,8.44,35.06,24.0,17.07
L Balaji,2013,Kolkata Knight Riders,13,300,50.0,399,13,11,0,113,0,1,3,2,6,154,96,149,7.98,36.33,30.69,23.08
P Kumar,2013,Punjab Kings,15,338,56.3,394,13,16,0,155,0,1,3,7,3,214,21,159,6.99,43.79,30.31,26.0
R Rampaul,2013,Royal Challengers Bengaluru,10,226,37.7,271,13,7,2,109,0,1,3,6,4,121,48,102,7.19,46.38,20.85,17.38
A Nehra,2013,Delhi Capitals,10,216,36.0,319,13,5,0,84,0,1,3,4,7,164,19,136,8.86,38.01,24.54,16.62
JD Unadkat,2013,Royal Challengers Bengaluru,13,294,49.0,373,13,5,0,102,1,1,5,5,5,95,211,67,7.61,34.11,28.69,22.62
B Kumar,2013,Pune Warriors,16,342,57.0,381,13,16,1,167,0,2,3,8,5,191,49,141,6.68,46.52,29.31,26.31
KV Sharma,2013,Sunrisers Hyderabad,13,209,34.8,235,12,2,0,88,0,1,3,0,1,23,186,26,6.75,41.71,19.58,17.42
SK Trivedi,2013,Rajasthan Royals,17,359,59.8,425,12,9,0,122,0,1,3,0,1,0,372,53,7.1,33.15,35.42,29.92
R Bhatia,2013,Kolkata Knight Riders,15,263,43.8,334,11,3,0,59,0,0,2,0,3,0,279,55,7.62,22.18,30.36,23.91
PP Chawla,2013,Punjab Kings,16,350,58.3,433,11,2,0,117,0,0,2,0,2,8,392,33,7.42,33.24,39.36,31.82
IK Pathan,2013,Delhi Capitals,15,308,51.3,391,11,7,0,134,0,0,2,4,1,145,183,63,7.62,42.54,35.55,28.0
DJG Sammy,2013,Sunrisers Hyderabad,9,134,22.3,169,11,3,1,50,1,2,6,0,4,19,99,51,7.57,36.23,15.36,12.18
M Kartik,2013,Royal Challengers Bengaluru,11,234,39.0,290,11,7,0,71,0,0,2,1,3,24,229,37,7.44,29.46,26.36,21.27
KA Pollard,2013,Mumbai Indians,14,186,31.0,292,10,11,0,60,0,0,2,0,6,0,176,116,9.42,30.46,29.2,18.6
SMSM Senanayake,2013,Kolkata Knight Riders,8,192,32.0,211,9,3,0,73,0,0,2,4,2,111,66,34,6.59,37.44,23.44,21.33
R Sharma,2013,Pune Warriors,11,246,41.0,282,9,1,0,85,0,0,2,1,2,42,205,35,6.88,34.41,31.33,27.33
S Nadeem,2013,Delhi Capitals,12,264,44.0,264,9,3,0,95,0,0,2,0,1,9,242,13,6.0,35.58,29.33,29.33
MC Henriques,2013,Royal Challengers Bengaluru,8,127,21.2,187,8,5,0,50,0,0,2,4,0,105,60,22,8.83,37.88,23.38,15.88
JA Morkel,2013,Chennai Super Kings,7,144,24.0,167,8,5,0,59,0,1,3,3,2,107,39,21,6.96,39.6,20.88,18.0
Sandeep Sharma,2013,Punjab Kings,4,96,16.0,130,8,0,2,41,0,2,3,4,2,55,24,51,8.13,41.84,16.25,12.0
M Morkel,2013,Delhi Capitals,10,240,40.0,341,8,4,3,91,0,0,2,3,3,120,94,127,8.53,36.84,42.63,30.0
DS Kulkarni,2013,Mumbai Indians,6,112,18.7,153,8,6,1,53,0,1,3,3,3,70,38,45,8.2,44.54,19.13,14.0
MS Gony,2013,Punjab Kings,8,168,28.0,261,7,6,1,62,0,0,2,0,3,33,148,80,9.32,35.43,37.29,24.0
Iqbal Abdulla,2013,Kolkata Knight Riders,5,113,18.8,142,7,0,0,41,0,1,3,1,1,27,97,18,7.54,36.28,20.29,16.14
WD Parnell,2013,Pune Warriors,4,89,14.8,141,7,7,1,33,0,2,3,3,3,60,10,71,9.51,34.02,20.14,12.71
STR Binny,2013,Rajasthan Royals,14,144,24.0,163,7,5,0,57,0,1,3,0,2,1,123,39,6.79,38.26,23.29,20.57
MR Marsh,2013,Pune Warriors,7,116,19.3,184,7,5,1,35,0,0,2,0,2,41,84,59,9.52,28.69,26.29,16.57
Yuvraj Singh,2013,Pune Warriors,10,132,22.0,152,6,1,0,39,0,0,2,0,0,0,152,0,6.91,29.32,25.33,22.0
S Sreesanth,2013,Rajasthan Royals,7,130,21.7,171,6,2,4,67,0,1,3,4,1,105,37,29,7.89,49.26,28.5,21.67
Harmeet Singh,2013,Punjab Kings,3,68,11.3,89,6,2,1,27,0,1,3,1,1,11,48,30,7.85,38.03,14.83,11.33
A Chandila,2013,Rajasthan Royals,8,150,25.0,158,6,0,0,64,0,0,2,6,0,98,54,6,6.32,42.67,26.33,25.0
AD Mathews,2013,Pune Warriors,10,186,31.0,245,6,2,0,50,0,1,3,1,4,42,135,68,7.9,26.6,40.83,31.0
S Kaul,2013,Delhi Capitals,6,131,21.8,172,5,2,0,44,0,0,2,2,1,54,57,61,7.88,33.08,34.4,26.2
J Botha,2013,Delhi Capitals,6,100,16.7,114,5,2,0,37,0,0,2,1,0,25,86,3,6.84,36.27,22.8,20.0
DP Nannes,2013,Chennai Super Kings,5,119,19.8,165,5,5,2,50,0,1,3,3,2,86,24,55,8.32,39.68,33.0,23.8
Z Khan,2013,Royal Challengers Bengaluru,2,36,6.0,47,5,2,0,18,0,1,4,3,0,21,26,0,7.83,47.37,9.4,7.2
RE van der Merwe,2013,Delhi Capitals,3,66,11.0,71,4,1,0,25,0,0,2,3,0,11,48,12,6.45,37.31,17.75,16.5
J Syed Mohammad,2013,Royal Challengers Bengaluru,4,60,10.0,92,4,2,0,10,0,0,2,0,0,0,92,0,9.2,16.13,23.0,15.0
JO Holder,2013,Chennai Super Kings,6,120,20.0,173,4,5,0,47,0,0,2,4,0,120,53,0,8.65,37.6,43.25,30.0
R Shukla,2013,Rajasthan Royals,3,48,8.0,80,4,5,0,15,0,0,2,2,1,40,32,8,10.0,28.3,20.0,12.0
B Lee,2013,Kolkata Knight Riders,3,72,12.0,89,4,3,0,34,0,0,2,2,2,42,4,43,7.42,45.33,22.25,18.0
R McLaren,2013,Kolkata Knight Riders,2,42,7.0,95,4,4,0,17,0,1,3,1,3,65,0,30,13.57,36.96,23.75,10.5
